task,variant,seed,train_examples,eval_examples,metric,value_percent,paired_delta_pp,noise_scale,protocol
segmentation,control,167,1464,1449,mIoU,5.949548075357874,0.2603443419494349,1.0,shared-read uniform noise
segmentation,online_consistency_range,167,1464,1449,mIoU,6.209892417307309,0.2603443419494349,1.0,shared-read uniform noise
