name,kind,module_type,output_shape,clean_rms,noisy_rms,residual_rms,residual_to_signal,stochastic_rms,stochastic_to_signal,bias_rms,bias_to_signal,stochastic_fraction_of_mse,clean_abs_mean,clean_abs_p95_mean,clean_abs_p99_mean,residual_abs_p95_mean,clean_abs_gt_5_frac,clean_abs_gt_8_frac,clean_abs_gt_10_frac,clean_numel,noisy_numel,nonfinite_outputs
classifier.1,linear,NoisyLinear,4x200,1.1098910912362157,0.7621908686877416,1.3184030736392034,1.1878670655611296,0.30209640058119724,0.27218562520825096,1.283325535215903,1.1562625786882506,0.05250427764966129,0.7303610038757324,1.977484405040741,3.930938243865967,2.4590872526168823,0.0075,0.001875,0.0,3200,12800,0
features.0.0,conv,NoisyConv2d,4x32x112x112,2.5935188154785442,2.2138981062394034,0.5215952923730265,0.2011149058414616,0.07691156344554587,0.029655294184304768,0.5158936522521524,0.19891648719616561,0.021742824146005868,1.6621057160046635,5.78605842590332,8.7197767496109,0.8637655563652515,0.07967158726283483,0.014084173708545918,0.005431506098533163,6422528,25690112,0
features.1.0.block.0.0,depthwise,NoisyConv2d,4x32x112x112,3.4524181846277187,1.7030949278352987,2.4176940872647488,0.700290045403481,0.20331914587389838,0.05889180713367801,2.40912972347195,0.6978093598854483,0.007072188967855586,1.251354762486049,4.118606507778168,11.805039644241333,0.79386305809021,0.03335960543885523,0.01830665432676977,0.01312847526705995,6422528,25690112,0
features.1.0.block.1.fc1,pointwise,NoisyConv2d,4x8x1x1,3.046316398864331,2.8260714045805564,2.6871449213772562,0.8820964632495252,1.9021987650908345,0.6244258691579035,1.8979957024636505,0.6230461494975456,0.5011060111585398,2.8823529481887817,4.500466227531433,6.038850545883179,4.0514745861291885,0.0390625,0.0,0.0,128,512,0
features.1.0.block.1.fc2,pointwise,NoisyConv2d,4x32x1x1,1.7960166871478702,1.793866877951532,0.024375262050197213,0.013571846088415737,0.018290624244134402,0.010183994600395655,0.016112307866214176,0.008971134834944668,0.5630649176310858,1.3886121809482574,3.910495340824127,4.077276706695557,0.04795318387914449,0.0,0.0,0.0,512,2048,0
features.1.0.block.2.0,pointwise,NoisyConv2d,4x16x112x112,6.321703691630288,4.63046548529691,1.9402780813401697,0.30692328776956584,0.30473625675308347,0.048204767514893734,1.9161980186685321,0.30311417809814634,0.024667225377678126,4.8440720694405695,12.24053692817688,13.811367988586426,4.296771347522736,0.36294462242904973,0.25054153130978957,0.1956703030333227,3211264,12845056,0
features.2.0.block.0.0,pointwise,NoisyConv2d,4x96x112x112,5.863784409467333,4.6731855646629334,5.676557688235484,0.9680706676511566,0.8436929868192358,0.14388199290837791,5.613509537878904,0.9573185413869668,0.022090155174265252,3.6897225931388182,12.264843225479126,21.35125160217285,10.867757678031921,0.2334015515385842,0.11998468515824298,0.07924314745429421,19267584,77070336,0
features.2.0.block.1.0,depthwise,NoisyConv2d,4x96x56x56,3.657610115219484,2.463141892623959,2.648735593169187,0.7241711143972607,0.3801965339300721,0.10394670890373384,2.621307085808316,0.7166720900352217,0.02060340936396053,1.717535602803133,7.585762619972229,15.52364206314087,5.352975398302078,0.10488621718218537,0.04330568897480867,0.02975443106930272,4816896,19267584,0
features.2.0.block.2.fc1,pointwise,NoisyConv2d,4x4x1x1,2.820119159020668,3.7754584956099926,4.537768680194644,1.609069838655491,2.6028083437705027,0.9229426832710041,3.7170866711114092,1.3180601462252495,0.3290028605543817,2.648836135864258,3.9436978101730347,4.147612631320953,6.864747583866119,0.0,0.0,0.0,64,256,0
features.2.0.block.2.fc2,pointwise,NoisyConv2d,4x96x1x1,1.8009196770919278,1.3133621563064237,0.6744681529885083,0.37451317877631257,0.08269885197425562,0.0459203444918739,0.6693789578989393,0.37168729200617806,0.015034052602112566,1.6858762900034587,2.9143999814987183,3.4423128366470337,1.1170170567929745,0.0,0.0,0.0,1536,6144,0
features.2.0.block.3.0,pointwise,NoisyConv2d,4x24x56x56,12.98544830540669,5.884892141456938,9.59592896554512,0.7389755624801732,0.7967384509384302,0.06135625295329203,9.562795645238063,0.7364239894017711,0.006893781353320952,10.244108861806442,25.184368133544922,35.72627258300781,19.31889033317566,0.7045026506696429,0.5259901812287415,0.42678106398809523,1204224,4816896,0
features.2.1.block.0.0,pointwise,NoisyConv2d,4x144x56x56,6.838476053187363,4.4542751105604586,7.156519458835145,1.0465079358579525,0.4608895135494241,0.0673965237232361,7.141663085093433,1.044335467368458,0.004147533865609427,5.123311222275368,13.944889068603516,20.52934455871582,14.104350209236145,0.4013000626682965,0.19543097186791383,0.11754637564661281,7225344,28901376,0
features.2.1.block.1.0,depthwise,NoisyConv2d,4x144x56x56,1.1067206402434009,0.9151216342300134,0.7412519120277273,0.6697732788869862,0.07363261949604709,0.06653225467978358,0.7375856793830206,0.6664605796281196,0.009867538930648078,0.5739315664416809,2.4923882484436035,4.450363516807556,1.6492022797465324,0.006177145337301587,0.0005648173983134921,0.00010490849985827664,7225344,28901376,0
features.2.1.block.2.fc1,pointwise,NoisyConv2d,4x6x1x1,2.7463100125714406,3.5690660589483354,2.8143732120023386,1.0247835091884505,1.1910877656759207,0.43370477485193837,2.5499032355941478,0.9284833918682792,0.1791117803658055,2.3875019550323486,4.382067084312439,4.683616876602173,5.212110996246338,0.010416666666666666,0.0,0.0,96,384,0
features.2.1.block.2.fc2,pointwise,NoisyConv2d,4x144x1x1,1.2812232244738326,1.4320784670203524,1.1929221121312534,0.9310806183841678,0.13103169576806947,0.10227077785128429,1.1857039513790257,0.9254468142083248,0.012065033872530767,0.9988380803002251,2.503994643688202,3.8567299246788025,2.4129868298768997,0.0,0.0,0.0,2304,9216,0
features.2.1.block.3.0,pointwise,NoisyConv2d,4x24x56x56,2.2487019249434477,1.4962566186328627,1.5039151666388528,0.6687925820478294,0.3079347605196089,0.1369388966602824,1.4720519731687804,0.65462298797374,0.04192477628211668,1.7323237049336335,4.643770813941956,6.085906028747559,2.9773330092430115,0.03542198129251701,0.000406070631377551,1.328656462585034e-05,1204224,4816896,0
